league,team,altitude,win_pct_1,home_win_pct_1,similar_opp_home_1,win_pct_2,home_win_pct_2,similar_opp_home_2,win_pct_3,home_win_pct_3,similar_opp_home_3,win_pct_4,home_win_pct_4,similar_opp_home_4,win_pct_5,home_win_pct_5,similar_opp_home_5
NBA,New Orleans Pelicans,5,0.4512,0.5854,,0.561,0.6829,,0.2561,0.2683,,0.3293,0.3902,,0.4146,0.5366,
NBA,Miami Heat,5,0.5732,0.5854,,0.7073,0.7317,,0.561,0.6829,,0.8049,0.9024,,0.6585,0.7805,
NBA,Boston Celtics,5,0.6093,0.5854,,0.6829,0.8049,,0.4756,0.5854,,0.5,0.6585,,0.3049,0.3902,
NBA,Philadelphia 76ers,10,0.3293,0.2927,,0.5,0.6331,,0.4268,0.4634,,0.4146,0.561,,0.2317,0.2439,
NBA,Golden State Warriors,10,0.3171,0.439,,0.439,0.6441,,0.2805,0.2927,,0.5732,0.6829,,0.622,0.6585,
NBA,Sacramento Kings,25,0.3049,0.439,,0.2927,0.2683,,0.2683,0.3902,,0.3415,0.4878,,0.3415,0.4146,
NBA,New York Knicks,25,0.3537,0.439,,0.5122,0.561,,0.439,0.5366,,0.6585,0.7561,,0.4512,0.4634,
NBA,Houston Rockets,30,0.5122,0.561,,0.5244,0.6098,,0.4146,0.5366,,0.5488,0.7073,,0.6585,0.8049,
NBA,Washington Wizards,30,0.3171,0.3659,,0.2805,0.4878,,0.2439,0.2683,,0.3537,0.5366,,0.5366,0.5366,
NBA,New Jersey Nets,30,0.1463,0.1951,,0.2927,0.4634,,0.2683,0.2195,,0.5976,0.6341,,0.4366,0.6829,
NBA,Portland Trailblazers,60,0.6098,0.6341,,0.5854,0.7317,,0.3415,0.4878,,0.4024,0.5366,,0.6585,0.7561,
NBA,Orlando Magic,60,0.7195,0.8293,,0.6341,0.7073,,0.4512,0.5122,,0.2439,0.2927,,0.2805,0.4634,
NBA,Los Angeles Clippers,250,0.3537,0.5122,,0.3902,0.561,,0.4878,0.5854,,0.6829,0.7805,,0.6951,0.8293,
NBA,Los Angeles Lakers,250,0.6951,0.8293,,0.6951,0.7317,,0.5,0.6331,,0.5488,0.7073,,0.3293,0.3415,
NBA,Memphis Grizzlies,250,0.4878,0.561,,0.5617,0.7317,,0.5,0.6341,,0.6829,0.7805,,0.6093,0.6585,
NBA,Toronto Raptors,250,0.4878,0.6093,,0.2683,0.3902,,0.2805,0.3171,,0.4146,0.561,,0.5854,0.6341,
NBA,Dallas Mavericks,500,0.6707,0.6829,,0.6951,0.7073,,0.439,0.561,,0.5,0.5854,,0.5976,0.6341,
NBA,Chicago Bulls,600,0.5,0.5854,,0.7561,0.878,,0.6098,0.6341,,0.5488,0.5854,,0.5854,0.6585,
NBA,Milwaukee Bucks,600,0.561,0.6829,,0.4268,0.5366,,0.378,0.4146,,0.4634,0.5122,,0.1829,0.2439,
NBA,San Antonio Spurs,650,0.6098,0.7073,,0.7439,0.877,,0.6098,0.6829,,0.7073,0.8537,,0.7561,0.7805,
NBA,Cleveland Cavaliers,700,0.7439,0.8537,,0.2317,0.2927,,0.2561,0.2683,,0.2927,0.3415,,0.4024,0.4634,
NBA,Indiana Pacers,750,0.3902,0.561,,0.4512,0.5854,,0.5122,0.561,,0.5976,0.7317,,0.6829,0.8537,
NBA,Charlotte Hornets,750,0.5366,0.7561,,0.4146,0.5122,,0.0854,0.0976,,0.2561,0.3659,,0.5244,0.6098,
NBA,Minnesota TimberWolves,800,0.1829,0.2439,,0.2073,0.2927,,0.3171,0.3171,,0.378,0.4878,,0.4878,0.5854,
NBA,Detroit Pistons,950,0.3293,0.4146,,0.3659,0.5122,,0.3049,0.439,,0.3537,0.439,,0.3557,0.4146,
NBA,Atlanta Hawks,1000,0.6463,0.8293,,0.5366,0.5854,,0.4878,0.561,,0.5366,0.6098,,0.4634,0.5854,
NBA,Phoenix Suns,1100,0.6585,0.7805,,0.4878,0.561,,0.4024,0.4634,,0.3049,0.4146,,0.5854,0.6341,
NBA,Oklahoma City Thunder,1200,0.6098,0.6585,,0.6707,0.7317,,0.5732,0.6341,,0.7317,0.8293,,0.7195,0.8293,
NBA,Utah Jazz,4200,0.6464,0.7805,,0.4756,0.5122,,0.439,0.6098,,0.5244,0.7317,,0.3049,0.3902,
NBA,Denver Nuggets,5300,0.6463,0.8293,,0.6098,0.8049,,0.4634,0.4878,,0.6951,0.9286,,0.439,0.5366,
